*
*
*
$STOPPOINT:ID;Code;Name;Lat;Lon;IsChargingStation;IsDepot
900038202;;Habichtswald (Berlin);52.47959;13.142199;0;0
900038104;;Alt-Gatow (Berlin);52.48365825;13.18311675;0;0
900038203;;Waldschluchtpfad (Berlin);52.4695665;13.174927;0;0
900120517;;Niederbarnimstr. (Berlin);52.512873;13.457409;0;0
900120518;;Wismarplatz (Berlin);52.510833;13.463131666666667;0;0
900180001;5;S Köpenick/Elcknerplatz (Berlin);52.458779;13.58019025;1;0
900180007;4;Schloßplatz Köpenick (Berlin);52.4442768;13.575415;1;0
900186001;11;S Grünau (Berlin);52.41261016666667;13.573409500000002;0;0
900180022;;Krankenhaus Köpenick/Südseite (Berlin);52.43883466666667;13.592395000000002;0;0
900100031;1;S+U Alexanderplatz Bhf/Memhardstr. (Berlin);52.522931666666665;13.410311333333333;1;0
900100515;;Spandauer Str./Marienkirche (Berlin);52.520494;13.405172;0;0
900023201;10;S+U Zoologischer Garten Bhf (Berlin);52.506945;13.333074125;1;0
900004181;;Hertzallee (Berlin);52.5090305;13.332834;1;0
900100030;;Memhardstr. (Berlin);52.52407;13.410607;0;0
900049302;;Sachtlebenstr. (Berlin);52.409135;13.251561;0;0
900049271;;Zehlendorf Eiche (Berlin);52.43452766666667;13.260233666666666;1;0
900066103;;Unter den Eichen/Drakestr. (Berlin);52.4455474;13.293425;0;0
900051202;;U Breitenbachplatz (Berlin);52.467423;13.309525;0;0
900041102;2;U Blissestr. (Berlin);52.48634833333333;13.320344;0;0
900041101;;U Fehrbelliner Platz (Berlin);52.490335;13.313895;0;0
900023304;;Olivaer Platz (Berlin);52.500705333333336;13.312624;0;0
900003107;;Gotzkowskystr. (Berlin);52.524066;13.33031125;0;0
900003104;4;U Turmstr. (Berlin);52.5262054;13.3418226;1;0
900002205;;Lübecker Str. (Berlin);52.52622633333333;13.345653666666664;0;0
900041154;;Mansfelder Str./Barstr. (Berlin);52.488521000000006;13.3141685;0;0
900049258;;Rathaus Zehlendorf (Berlin);52.4332885;13.2589375;1;0
900049241;;Zehlendorf Eiche (Berlin);52.43522825;13.2595985;1;0
900023302;;U Adenauerplatz (Berlin);52.49999425;13.30704225;0;0
900058105;;Lindenhof (Berlin);52.459947;13.361475;0;0
900058109;;Reichartstr. (Berlin);52.47246375;13.3660995;0;0
900058101;1;S Südkreuz Bhf (Berlin);52.47629;13.364156333333334;1;0
900054102;;U Kleistpark (Berlin);52.4908485;13.3605735;0;0
900056102;;U Nollendorfplatz (Berlin);52.49961199999999;13.353735666666664;0;0
900020202;;S Beusselstr. (Berlin);52.5341995;13.3283625;0;0
900009103;;U Seestr. (Berlin);52.550095;13.351288666666669;0;0
900133014;;Arkenberge (Berlin);52.640278;13.400177;0;0
900131527;;Hermann-Hesse-Str./Waldstr. (Berlin);52.580559;13.4016885;0;0
900131528;6;Grabbeallee/Pastor-Niemöller-Platz (Berlin);52.578799;13.398222666666667;0;0
900200029;;Schildow, Kirche;52.63559;13.3771225;0;0
900176528;;Mirower Str. (Berlin);52.47805233333333;13.609863666666667;0;0
900180549;;Kohlisstr. (Berlin);52.4754555;13.599282;0;0
900171006;6;U Elsterwerdaer Platz (Berlin);52.5055675;13.5617425;0;0
900160004;10;S+U Lichtenberg Bhf (Berlin);52.5104394;13.49974;0;0
900320023;;Waldesruh, Mahlsdorfer Allee;52.484665;13.628484;0;0
900171700;3;U Elsterwerdaer Platz (Berlin);52.506356;13.560999666666667;1;0
900020207;2;Tegeler Weg/S Jungfernheide (Berlin);52.5295875;13.2962245;0;0
900018101;;U Jakob-Kaiser-Platz (Berlin);52.5368055;13.293577;0;0
900018103;;Berlin, Weltlingerbrücke;52.53936533333333;13.294581333333332;0;0
